Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,12
id_1,01/06/2025 00:00:00,15
id_2,01/06/2025 00:00:00,11
id_3,01/06/2025 00:00:00,15
id_4,01/06/2025 00:00:00,16
id_5,01/06/2025 00:00:00,10
id_6,01/06/2025 00:00:00,11
id_7,01/06/2025 00:00:00,11
id_0,01/07/2025 00:00:00,11.98
id_1,01/07/2025 00:00:00,15.18
id_2,01/07/2025 00:00:00,10.82
id_3,01/07/2025 00:00:00,14.95
id_4,01/07/2025 00:00:00,16.31
id_5,01/07/2025 00:00:00,9.97
id_6,01/07/2025 00:00:00,10.91
id_7,01/07/2025 00:00:00,11.32
id_0,01/08/2025 00:00:00,11.83
id_1,01/08/2025 00:00:00,15.26
id_2,01/08/2025 00:00:00,11.03
id_3,01/08/2025 00:00:00,15.07
id_4,01/08/2025 00:00:00,16.43
id_5,01/08/2025 00:00:00,9.9
id_6,01/08/2025 00:00:00,11.21
id_7,01/08/2025 00:00:00,10.94
id_0,01/09/2025 00:00:00,12
id_1,01/09/2025 00:00:00,15.39
id_2,01/09/2025 00:00:00,10.95
id_3,01/09/2025 00:00:00,14.82
id_4,01/09/2025 00:00:00,16.51
id_5,01/09/2025 00:00:00,9.89
id_6,01/09/2025 00:00:00,11.11
id_7,01/09/2025 00:00:00,10.91
id_0,01/10/2025 00:00:00,11.93
id_1,01/10/2025 00:00:00,15.3
id_2,01/10/2025 00:00:00,10.53
id_3,01/10/2025 00:00:00,14.62
id_4,01/10/2025 00:00:00,16.33
id_5,01/10/2025 00:00:00,9.97
id_6,01/10/2025 00:00:00,10.83
id_7,01/10/2025 00:00:00,11.09
id_0,01/13/2025 00:00:00,12.06
id_1,01/13/2025 00:00:00,15.61
id_2,01/13/2025 00:00:00,10.54
id_3,01/13/2025 00:00:00,14.69
id_4,01/13/2025 00:00:00,16.1
id_5,01/13/2025 00:00:00,9.96
id_6,01/13/2025 00:00:00,10.57
id_7,01/13/2025 00:00:00,11.09
id_0,01/14/2025 00:00:00,12.11
id_1,01/14/2025 00:00:00,15.78
id_2,01/14/2025 00:00:00,10.8
id_3,01/14/2025 00:00:00,14.91
id_4,01/14/2025 00:00:00,16.22
id_5,01/14/2025 00:00:00,10.07
id_6,01/14/2025 00:00:00,10.51
id_7,01/14/2025 00:00:00,10.89
id_0,01/15/2025 00:00:00,11.98
id_1,01/15/2025 00:00:00,15.98
id_2,01/15/2025 00:00:00,10.6
id_3,01/15/2025 00:00:00,15
id_4,01/15/2025 00:00:00,16.13
id_5,01/15/2025 00:00:00,10.1
id_6,01/15/2025 00:00:00,10.3
id_7,01/15/2025 00:00:00,11.38
id_0,01/16/2025 00:00:00,12.07
id_1,01/16/2025 00:00:00,16.49
id_2,01/16/2025 00:00:00,10.98
id_3,01/16/2025 00:00:00,15.29
id_4,01/16/2025 00:00:00,16.03
id_5,01/16/2025 00:00:00,10.06
id_6,01/16/2025 00:00:00,10.51
id_7,01/16/2025 00:00:00,11.28
id_0,01/17/2025 00:00:00,12.15
id_1,01/17/2025 00:00:00,16.3
id_2,01/17/2025 00:00:00,10.94
id_3,01/17/2025 00:00:00,14.7
id_4,01/17/2025 00:00:00,15.86
id_5,01/17/2025 00:00:00,9.92
id_6,01/17/2025 00:00:00,10.06
id_7,01/17/2025 00:00:00,11.28
id_0,01/20/2025 00:00:00,12.05
id_1,01/20/2025 00:00:00,16.44
id_2,01/20/2025 00:00:00,10.84
id_3,01/20/2025 00:00:00,15.44
id_4,01/20/2025 00:00:00,15.7
id_5,01/20/2025 00:00:00,9.93
id_6,01/20/2025 00:00:00,10.13
id_7,01/20/2025 00:00:00,11.16
id_0,01/21/2025 00:00:00,12.04
id_1,01/21/2025 00:00:00,16.82
id_2,01/21/2025 00:00:00,10.89
id_3,01/21/2025 00:00:00,15.63
id_4,01/21/2025 00:00:00,15.53
id_5,01/21/2025 00:00:00,9.77
id_6,01/21/2025 00:00:00,9.95
id_7,01/21/2025 00:00:00,11.42
id_0,01/22/2025 00:00:00,12.01
id_1,01/22/2025 00:00:00,17.09
id_2,01/22/2025 00:00:00,10.69
id_3,01/22/2025 00:00:00,15.92
id_4,01/22/2025 00:00:00,15.58
id_5,01/22/2025 00:00:00,9.78
id_6,01/22/2025 00:00:00,9.93
id_7,01/22/2025 00:00:00,11.2
id_0,01/23/2025 00:00:00,11.92
id_1,01/23/2025 00:00:00,17.16
id_2,01/23/2025 00:00:00,10.55
id_3,01/23/2025 00:00:00,15.89
id_4,01/23/2025 00:00:00,15.61
id_5,01/23/2025 00:00:00,9.56
id_6,01/23/2025 00:00:00,9.78
id_7,01/23/2025 00:00:00,11.02
id_0,01/24/2025 00:00:00,11.93
id_1,01/24/2025 00:00:00,17.04
id_2,01/24/2025 00:00:00,10.56
id_3,01/24/2025 00:00:00,15.77
id_4,01/24/2025 00:00:00,15.97
id_5,01/24/2025 00:00:00,9.64
id_6,01/24/2025 00:00:00,9.54
id_7,01/24/2025 00:00:00,11.06
id_0,01/27/2025 00:00:00,12.15
id_1,01/27/2025 00:00:00,17.26
id_2,01/27/2025 00:00:00,10.72
id_3,01/27/2025 00:00:00,16.42
id_4,01/27/2025 00:00:00,15.73
id_5,01/27/2025 00:00:00,9.55
id_6,01/27/2025 00:00:00,9.34
id_7,01/27/2025 00:00:00,10.8
