Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,17
id_1,01/06/2025 00:00:00,20
id_2,01/06/2025 00:00:00,15
id_3,01/06/2025 00:00:00,14
id_4,01/06/2025 00:00:00,13
id_0,01/07/2025 00:00:00,16.75
id_1,01/07/2025 00:00:00,19.43
id_2,01/07/2025 00:00:00,14.9
id_3,01/07/2025 00:00:00,14.58
id_4,01/07/2025 00:00:00,12.79
id_0,01/08/2025 00:00:00,16.36
id_1,01/08/2025 00:00:00,18.71
id_2,01/08/2025 00:00:00,15.16
id_3,01/08/2025 00:00:00,14.15
id_4,01/08/2025 00:00:00,12.77
id_0,01/09/2025 00:00:00,16.72
id_1,01/09/2025 00:00:00,18.76
id_2,01/09/2025 00:00:00,15.29
id_3,01/09/2025 00:00:00,13.85
id_4,01/09/2025 00:00:00,12.73
id_0,01/10/2025 00:00:00,16.47
id_1,01/10/2025 00:00:00,19.52
id_2,01/10/2025 00:00:00,15.62
id_3,01/10/2025 00:00:00,13.44
id_4,01/10/2025 00:00:00,12.49
id_0,01/13/2025 00:00:00,16.33
id_1,01/13/2025 00:00:00,19.71
id_2,01/13/2025 00:00:00,15.99
id_3,01/13/2025 00:00:00,13.26
id_4,01/13/2025 00:00:00,12.51
id_0,01/14/2025 00:00:00,16.57
id_1,01/14/2025 00:00:00,20.21
id_2,01/14/2025 00:00:00,15.86
id_3,01/14/2025 00:00:00,13.55
id_4,01/14/2025 00:00:00,12.43
id_0,01/15/2025 00:00:00,16.61
id_1,01/15/2025 00:00:00,20.38
id_2,01/15/2025 00:00:00,15.76
id_3,01/15/2025 00:00:00,13.37
id_4,01/15/2025 00:00:00,12.4
id_0,01/16/2025 00:00:00,16.5
id_1,01/16/2025 00:00:00,20.63
id_2,01/16/2025 00:00:00,15.89
id_3,01/16/2025 00:00:00,13.33
id_4,01/16/2025 00:00:00,12.74
id_0,01/17/2025 00:00:00,16.56
id_1,01/17/2025 00:00:00,21.11
id_2,01/17/2025 00:00:00,15.81
id_3,01/17/2025 00:00:00,12.69
id_4,01/17/2025 00:00:00,12.37
id_0,01/20/2025 00:00:00,16.56
id_1,01/20/2025 00:00:00,20.69
id_2,01/20/2025 00:00:00,15.65
id_3,01/20/2025 00:00:00,12.58
id_4,01/20/2025 00:00:00,12.7
id_0,01/21/2025 00:00:00,17.03
id_1,01/21/2025 00:00:00,21.04
id_2,01/21/2025 00:00:00,15.24
id_3,01/21/2025 00:00:00,12.46
id_4,01/21/2025 00:00:00,12.71
id_0,01/22/2025 00:00:00,17.09
id_1,01/22/2025 00:00:00,21.17
id_2,01/22/2025 00:00:00,15.27
id_3,01/22/2025 00:00:00,12.23
id_4,01/22/2025 00:00:00,12.37
id_0,01/23/2025 00:00:00,16.91
id_1,01/23/2025 00:00:00,20.53
id_2,01/23/2025 00:00:00,15.53
id_3,01/23/2025 00:00:00,12.33
id_4,01/23/2025 00:00:00,12.34
id_0,01/24/2025 00:00:00,17
id_1,01/24/2025 00:00:00,21.39
id_2,01/24/2025 00:00:00,15.82
id_3,01/24/2025 00:00:00,11.98
id_4,01/24/2025 00:00:00,12.24
id_0,01/27/2025 00:00:00,17.13
id_1,01/27/2025 00:00:00,22.02
id_2,01/27/2025 00:00:00,15.97
id_3,01/27/2025 00:00:00,11.53
